elo_diff,form_diff,is_neutral,tournament_weight,avg_goals_diff,defense_diff,is_major_tournament,h2h_home_wins,outcome,date,home_team,away_team
-19.63000000000011,-1,0,0.5,,,0,0,1,2010-06-05,Switzerland,Italy
0.08999999999991815,-2,0,0.5,-0.8333333333333333,0.6666666666666667,0,0,2,2010-06-05,Slovakia,Costa Rica
-87.76999999999998,-6,1,0.5,-2.0,-2.5,0,0,2,2010-06-05,Algeria,United Arab Emirates
-29.87000000000012,-5,1,0.5,-1.25,-0.25,0,0,2,2010-06-05,Romania,Honduras
64.86000000000013,8,0,0.5,,,0,0,2,2010-06-05,Netherlands,Hungary
4.710000000000036,5,1,0.5,-0.6666666666666667,0.6666666666666667,0,0,2,2010-06-05,Ghana,Latvia
57.01999999999998,4,1,0.5,0.33333333333333326,1.6666666666666667,0,0,0,2010-06-05,Australia,United States
28.670000000000073,4,0,0.5,-1.0,1.3333333333333333,0,0,2,2010-06-05,Serbia,Cameroon
56.429999999999836,6,1,0.5,0.7083333333333333,0.625,0,0,2,2010-06-06,Nigeria,North Korea
-61.84999999999991,-6,0,0.5,-1.5,-2.0,0,0,0,2010-06-07,Tanzania,Brazil
-89.58999999999992,-6,1,0.5,,,0,0,0,2010-06-08,Mozambique,Portugal
8.11999999999989,-2,0,0.5,0.5,-0.5,0,0,2,2010-06-08,Spain,Poland
47.22000000000003,2,1,3.0,3.0,0.0,3,0,1,2010-06-11,Uruguay,France
4.329999999999927,4,0,3.0,0.7777777777777779,1.6666666666666667,3,0,1,2010-06-11,South Africa,Mexico
70.56999999999994,8,1,3.0,,,3,0,2,2010-06-12,South Korea,Greece
30.210000000000036,4,1,3.0,3.1666666666666665,0.5833333333333333,3,0,2,2010-06-12,Argentina,Nigeria
47.340000000000146,0,1,3.0,1.0,0.5,3,0,1,2010-06-12,England,United States
-51.98000000000002,-3,1,3.0,,,3,0,0,2010-06-13,Algeria,Slovenia
6.669999999999845,-1,1,3.0,0.0,1.3333333333333335,3,0,2,2010-06-13,Germany,Australia
24.019999999999982,4,1,3.0,1.0,0.30000000000000004,3,0,0,2010-06-13,Serbia,Ghana
-28.450000000000045,-6,1,3.0,-1.0,0.0,3,0,1,2010-06-14,Italy,Paraguay
-3.5299999999999727,0,1,3.0,-0.507936507936508,0.38095238095238093,3,0,2,2010-06-14,Japan,Cameroon
88.17000000000007,9,1,3.0,3.1666666666666665,0.33333333333333326,3,0,2,2010-06-14,Netherlands,Denmark
